model,roc_auc,pr_auc,brier,log_loss,positive_predictions
baseline,0.5644268774703557,0.8429404989859222,0.1718770280335475,0.5244693698408905,211
baseline_plus_divergence,0.5606060606060606,0.8400934485664922,0.17407705982222518,0.5308838591423644,211
baseline_plus_intent,0.5606060606060606,0.8400934485664922,0.17407705982221836,0.5308838591423476,211
full_intent_divergence,0.5603425559947299,0.8398535989402008,0.17407185192830724,0.5308890668192633,211
