repository_id,pull_request_number,full_divergence,python_divergence,delta,total_files,python_files,non_python_files,total_changes,python_changes,non_python_changes,non_python_ratio,non_python_change_ratio,module_count,documentation_files,configuration_files,test_files,assets_files,other_files
1,232,0.827139607961741,0.827139607961741,0.0,1,1,0,3,3,0,0.0,0.0,1,0,0,0,0,0
1,236,0.343619645305265,0.343619645305265,0.0,1,1,0,11,11,0,0.0,0.0,1,0,0,0,0,0
1,237,0.9132659983187191,0.9132659983187191,0.0,1,1,0,5,5,0,0.0,0.0,1,0,0,0,0,0
1,252,0.7766753152929728,0.7766753152929728,0.0,1,1,0,6,6,0,0.0,0.0,1,0,0,0,0,0
1,275,0.5474465160861746,0.5474465160861746,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,277,0.4204482799906961,0.4204482799906961,0.0,1,1,0,1,1,0,0.0,0.0,1,0,0,0,0,0
1,282,0.7885900596179222,0.8594038916343139,0.07081383201639169,2,1,1,4,2,2,0.5,0.5,2,1,0,0,0,0
1,284,0.9527421001802777,0.9527421001802777,0.0,1,1,0,7,7,0,0.0,0.0,1,0,0,0,0,0
1,307,0.5021217695734412,0.5021217695734412,0.0,4,4,0,123,123,0,0.0,0.0,4,0,0,0,0,0
1,309,0.43879269730942605,0.43879269730942605,0.0,2,2,0,5,5,0,0.0,0.0,2,0,0,0,0,0
1,320,0.5237221918313566,0.5237221918313566,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,322,0.41700341406443064,0.41700341406443064,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,324,0.699856835310782,0.699856835310782,0.0,1,1,0,4,4,0,0.0,0.0,1,0,0,0,0,0
1,327,0.9167847325157759,0.9167847325157759,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,347,0.6045406302293977,0.6045406302293977,0.0,1,1,0,26,26,0,0.0,0.0,1,0,0,0,0,0
1,387,0.7460180621261718,0.8845950602800602,0.13857699815388835,3,1,2,14,10,4,0.6666666666666666,0.2857142857142857,3,2,0,0,0,0
1,390,0.5080986678893045,0.5080986678893045,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,392,0.7999948666390146,0.9231977478817901,0.12320288124277545,5,1,4,22,8,14,0.8,0.6363636363636364,5,3,0,0,0,1
1,396,0.6013020864401448,0.6013020864401448,0.0,1,1,0,6,6,0,0.0,0.0,1,0,0,0,0,0
1,409,0.6318508293683032,0.6318508293683032,0.0,2,2,0,27,27,0,0.0,0.0,2,0,0,0,0,0
1,413,0.4825041027483824,0.5653445089063854,0.08284040615800303,8,4,4,100,60,40,0.5,0.4,8,0,0,0,0,4
1,415,0.8774446550994902,0.8774446550994902,0.0,2,2,0,21,21,0,0.0,0.0,2,0,0,0,0,0
1,416,0.4507937850386552,0.4507937850386552,0.0,1,1,0,7,7,0,0.0,0.0,1,0,0,0,0,0
1,417,0.9388288859943105,0.9388288859943105,0.0,1,1,0,4,4,0,0.0,0.0,1,0,0,0,0,0
1,420,0.5092785505899018,0.5092785505899018,0.0,1,1,0,6,6,0,0.0,0.0,1,0,0,0,0,0
1,430,0.8641516254057302,0.8784256852806938,0.014274059874963552,3,2,1,48,45,3,0.3333333333333333,0.0625,3,0,0,0,0,1
1,431,0.8506564811463401,0.8966230715312699,0.045966590384929784,2,1,1,77,64,13,0.5,0.16883116883116883,2,0,0,0,0,1
1,433,0.5978723319410825,0.5978723319410825,0.0,2,2,0,37,37,0,0.0,0.0,2,0,0,0,0,0
1,437,0.6269597158478246,0.6729744542243803,0.046014738376555675,3,2,1,40,36,4,0.3333333333333333,0.1,3,1,0,0,0,0
1,439,0.6570858119149294,0.6414740216298834,-0.015611790285046001,4,3,1,82,80,2,0.25,0.024390243902439025,4,0,0,0,0,1
1,444,0.4866867997517673,0.4866867997517673,0.0,1,1,0,8,8,0,0.0,0.0,1,0,0,0,0,0
1,453,0.730234596211366,0.730234596211366,0.0,1,1,0,4,4,0,0.0,0.0,1,0,0,0,0,0
1,455,0.912754962574453,0.912754962574453,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,465,0.48207735190855894,0.48207735190855894,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,469,0.8715122710147611,0.8715122710147611,0.0,1,1,0,1,1,0,0.0,0.0,1,0,0,0,0,0
1,470,0.4035903058749194,0.4035903058749194,0.0,1,1,0,31,31,0,0.0,0.0,1,0,0,0,0,0
1,473,0.4384913490825484,0.4384913490825484,0.0,1,1,0,11,11,0,0.0,0.0,1,0,0,0,0,0
1,483,0.952778239836685,0.952778239836685,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,489,0.9498722685580101,0.9498722685580101,0.0,1,1,0,6,6,0,0.0,0.0,1,0,0,0,0,0
1,492,0.43827635527311526,0.43827635527311526,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,497,0.4529772534688845,0.4529772534688845,0.0,2,2,0,25,25,0,0.0,0.0,2,0,0,0,0,0
1,505,0.9142883605017581,0.9142883605017581,0.0,1,1,0,16,16,0,0.0,0.0,1,0,0,0,0,0
1,506,0.9034997866442921,0.9034997866442921,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,509,0.49232558108902247,0.49232558108902247,0.0,1,1,0,1,1,0,0.0,0.0,1,0,0,0,0,0
1,514,0.5263256428049156,0.5263256428049156,0.0,1,1,0,10,10,0,0.0,0.0,1,0,0,0,0,0
1,515,0.47616973814742636,0.7968007224965639,0.3206309843491375,2,1,1,21,10,11,0.5,0.5238095238095238,2,0,1,0,0,0
1,527,0.952492336092163,0.952492336092163,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,530,0.8905360974875662,0.8905360974875662,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,533,0.5730174898398757,0.5730174898398757,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,538,0.4772116807553588,0.4772116807553588,0.0,1,1,0,4,4,0,0.0,0.0,1,0,0,0,0,0
1,543,0.3550432179694357,0.3550432179694357,0.0,1,1,0,10,10,0,0.0,0.0,1,0,0,0,0,0
1,564,0.5329137464464422,0.5329137464464422,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,565,0.4590531389999316,0.4590531389999316,0.0,1,1,0,8,8,0,0.0,0.0,1,0,0,0,0,0
1,567,0.9953801491603945,0.9953801491603945,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,571,0.8178620835912984,0.8178620835912984,0.0,1,1,0,6,6,0,0.0,0.0,1,0,0,0,0,0
1,574,0.4707425864049991,0.4707425864049991,0.0,1,1,0,4,4,0,0.0,0.0,1,0,0,0,0,0
1,578,0.8680717587545757,0.8680717587545757,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,583,0.9663906927775142,0.9663906927775142,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,591,0.8993103910590523,0.9570344526397085,0.05772406158065624,6,4,2,36,30,6,0.3333333333333333,0.16666666666666666,6,2,0,0,0,0
1,594,0.3938231732431007,0.3938231732431007,0.0,1,1,0,4,4,0,0.0,0.0,1,0,0,0,0,0
1,603,0.92370155997948,0.92370155997948,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,614,0.38283080335413877,0.38283080335413877,0.0,2,2,0,4,4,0,0.0,0.0,2,0,0,0,0,0
1,619,0.35973249781162175,0.35973249781162175,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,625,0.41473963976734773,0.49833610832789144,0.0835964685605437,2,1,1,11,7,4,0.5,0.36363636363636365,2,1,0,0,0,0
1,630,0.8333122386354499,0.8333122386354499,0.0,1,1,0,5,5,0,0.0,0.0,1,0,0,0,0,0
1,635,0.857899325240863,0.857899325240863,0.0,1,1,0,9,9,0,0.0,0.0,1,0,0,0,0,0
1,667,0.8496107014261385,0.8496107014261385,0.0,2,2,0,34,34,0,0.0,0.0,2,0,0,0,0,0
1,687,0.7052854681700267,0.7052854681700267,0.0,4,4,0,33,33,0,0.0,0.0,4,0,0,0,0,0
1,700,0.31890122758273254,0.31890122758273254,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,707,0.8891366377536002,0.8891366377536002,0.0,1,1,0,5,5,0,0.0,0.0,1,0,0,0,0,0
1,708,0.5358026097608135,0.5358026097608135,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,730,0.7111159588766547,0.7006772749259547,-0.010438683950700023,6,4,2,99,85,14,0.3333333333333333,0.1414141414141414,6,0,0,0,0,2
1,731,0.681251461814631,0.7230545672128246,0.04180310539819354,10,4,6,28,10,18,0.6,0.6428571428571429,10,4,1,0,0,1
1,732,0.7822923934957878,0.7822923934957878,0.0,12,12,0,64,64,0,0.0,0.0,12,0,0,0,0,0
1,733,0.836581486154362,0.836581486154362,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,734,0.8518312041584949,0.8518312041584949,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,735,0.7607209150804869,0.7607209150804869,0.0,13,13,0,61,61,0,0.0,0.0,13,0,0,0,0,0
1,736,0.7841708856461527,0.7841708856461527,0.0,24,24,0,227,227,0,0.0,0.0,24,0,0,0,0,0
1,737,0.9104396012343414,0.9104396012343414,0.0,9,9,0,251,251,0,0.0,0.0,9,0,0,0,0,0
1,739,0.7255759834587501,0.7255759834587501,0.0,1,1,0,5,5,0,0.0,0.0,1,0,0,0,0,0
1,740,0.37398996295341935,0.37398996295341935,0.0,1,1,0,8,8,0,0.0,0.0,1,0,0,0,0,0
1,741,0.9231854378172243,0.9231854378172243,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,742,0.41356551326113766,0.38752808113056225,-0.02603743213057541,8,6,2,82,78,4,0.25,0.04878048780487805,8,2,0,0,0,0
1,743,0.4664971978520308,0.4664971978520308,0.0,1,1,0,5,5,0,0.0,0.0,1,0,0,0,0,0
1,744,0.8405561426458028,0.8405561426458028,0.0,7,7,0,17,17,0,0.0,0.0,7,0,0,0,0,0
1,745,0.7458851825578592,0.7458851825578592,0.0,1,1,0,4,4,0,0.0,0.0,1,0,0,0,0,0
1,746,0.9444046946310357,0.9444046946310357,0.0,5,5,0,20,20,0,0.0,0.0,5,0,0,0,0,0
1,747,0.9428508866598422,0.9428508866598422,0.0,6,6,0,26,26,0,0.0,0.0,6,0,0,0,0,0
1,751,0.8734282585664055,0.8734282585664055,0.0,2,2,0,5,5,0,0.0,0.0,2,0,0,0,0,0
1,764,1.003621616207439,1.003621616207439,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,766,0.5142402737991811,0.5142402737991811,0.0,2,2,0,31,31,0,0.0,0.0,2,0,0,0,0,0
1,775,0.45578583947800444,0.45578583947800444,0.0,3,3,0,24,24,0,0.0,0.0,3,0,0,0,0,0
1,811,0.5414438600154068,0.5414438600154068,0.0,1,1,0,5,5,0,0.0,0.0,1,0,0,0,0,0
1,816,0.9361268131402387,0.9361268131402387,0.0,2,2,0,10,10,0,0.0,0.0,2,0,0,0,0,0
1,819,0.7956245801970436,0.7956245801970436,0.0,1,1,0,34,34,0,0.0,0.0,1,0,0,0,0,0
1,820,0.807776752789637,0.807776752789637,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,827,0.7400426506942233,0.7382803484927756,-0.0017623022014476852,3,2,1,50,46,4,0.3333333333333333,0.08,3,0,0,0,0,1
1,838,0.8088512158488566,0.8088512158488566,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,839,0.6348351906378831,0.5750563747305244,-0.05977881590735867,3,2,1,52,46,6,0.3333333333333333,0.11538461538461539,3,0,0,0,0,1
1,840,0.9930164767003831,0.9930164767003831,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,843,0.8803761043491485,0.8803761043491485,0.0,1,1,0,4,4,0,0.0,0.0,1,0,0,0,0,0
1,851,0.3923913573952913,0.3923913573952913,0.0,1,1,0,12,12,0,0.0,0.0,1,0,0,0,0,0
1,859,0.7832658765289886,0.7832658765289886,0.0,2,2,0,44,44,0,0.0,0.0,2,0,0,0,0,0
1,862,0.5465897099955865,0.5465897099955865,0.0,2,2,0,6,6,0,0.0,0.0,2,0,0,0,0,0
1,864,0.7074904092915182,0.7074904092915182,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,876,0.4978896428274503,0.44877772087912915,-0.04911192194832115,4,2,2,28,15,13,0.5,0.4642857142857143,4,1,0,0,0,1
1,877,0.6531338665848117,0.6531338665848117,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,885,0.5666844499993312,0.5666844499993312,0.0,1,1,0,14,14,0,0.0,0.0,1,0,0,0,0,0
1,891,0.5006025344273141,0.5006025344273141,0.0,1,1,0,4,4,0,0.0,0.0,1,0,0,0,0,0
1,895,0.9654319533874819,0.9654319533874819,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,919,0.3892065098727634,0.3892065098727634,0.0,1,1,0,10,10,0,0.0,0.0,1,0,0,0,0,0
1,936,0.6429234702756206,0.6429234702756206,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,938,0.6220462206409123,0.5902385730681341,-0.03180764757277821,3,2,1,59,53,6,0.3333333333333333,0.1016949152542373,3,1,0,0,0,0
1,946,0.9382891643438397,0.9382891643438397,0.0,1,1,0,4,4,0,0.0,0.0,1,0,0,0,0,0
1,960,0.790115652444866,0.790115652444866,0.0,2,2,0,49,49,0,0.0,0.0,2,0,0,0,0,0
1,961,0.9312455185647476,0.9312455185647476,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,997,0.8538769720202355,0.8538769720202355,0.0,1,1,0,8,8,0,0.0,0.0,1,0,0,0,0,0
1,1000,0.988861888322367,0.988861888322367,0.0,5,5,0,28,28,0,0.0,0.0,5,0,0,0,0,0
1,1014,0.6435830852311248,0.6435830852311248,0.0,1,1,0,5,5,0,0.0,0.0,1,0,0,0,0,0
1,1019,0.9313630216537383,0.9313630216537383,0.0,2,2,0,4,4,0,0.0,0.0,2,0,0,0,0,0
1,1022,1.0269768739017195,1.0269768739017195,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,1030,0.7663974932020012,0.7663974932020012,0.0,1,1,0,14,14,0,0.0,0.0,1,0,0,0,0,0
1,1032,0.9325387426859576,0.9131028236603043,-0.019435919025653337,3,2,1,6,4,2,0.3333333333333333,0.3333333333333333,3,1,0,0,0,0
1,1039,0.7313597487393616,0.7313597487393616,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,1040,0.9311854243730053,0.9311854243730053,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,1052,0.6755393640388794,0.6755393640388794,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,1058,0.40224776788075334,0.40224776788075334,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,1079,0.5831983897725861,0.5831983897725861,0.0,1,1,0,50,50,0,0.0,0.0,1,0,0,0,0,0
1,1086,0.6826742419896388,0.6826742419896388,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,1100,0.7468803599209031,0.7468803599209031,0.0,1,1,0,3,3,0,0.0,0.0,1,0,0,0,0,0
1,1144,0.8363760761879144,0.8363760761879144,0.0,1,1,0,5,5,0,0.0,0.0,1,0,0,0,0,0
1,1156,0.4828397920866607,0.4828397920866607,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,1158,0.9171589946733458,0.9171589946733458,0.0,1,1,0,3,3,0,0.0,0.0,1,0,0,0,0,0
1,1161,0.6799703677310474,0.8435569503310358,0.16358658259998848,2,1,1,7,2,5,0.5,0.7142857142857143,2,1,0,0,0,0
1,1162,0.991454772499449,0.991454772499449,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,1165,0.37135471013263077,0.3674055120453764,-0.0039491980872543575,84,61,23,9193,9139,54,0.27380952380952384,0.005874034591537039,84,0,2,15,0,6
1,1206,0.7981994125817187,0.7981994125817187,0.0,2,2,0,44,44,0,0.0,0.0,2,0,0,0,0,0
1,1208,0.6374392705550921,0.6374392705550921,0.0,1,1,0,4,4,0,0.0,0.0,1,0,0,0,0,0
1,1213,0.4548906358143685,0.4548906358143685,0.0,2,2,0,17,17,0,0.0,0.0,2,0,0,0,0,0
1,1222,0.6270008277276289,0.6567624440792816,0.029761616351652753,4,2,2,54,38,16,0.5,0.2962962962962963,4,1,0,0,0,1
1,1225,0.7888231048199594,0.9330005403627109,0.14417743554275142,19,12,7,54,38,16,0.3684210526315789,0.2962962962962963,19,5,0,0,0,2
1,1237,0.8699868892193225,0.8699868892193225,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,1240,0.5641922019207393,0.5335048668058608,-0.030687335114878422,61,9,52,792,210,582,0.8524590163934426,0.7348484848484849,61,49,0,0,0,3
1,1242,1.0131422036623952,1.0131422036623952,0.0,1,1,0,4,4,0,0.0,0.0,1,0,0,0,0,0
1,1262,0.728440283775522,0.7473133802645977,0.018873096489075758,3,2,1,25,19,6,0.3333333333333333,0.24,3,0,0,0,0,1
1,1290,0.860936234270149,0.860936234270149,0.0,2,2,0,14,14,0,0.0,0.0,2,0,0,0,0,0
1,1291,0.7973341695249767,0.7973341695249767,0.0,2,2,0,212,212,0,0.0,0.0,2,0,0,0,0,0
1,1303,0.9365300267080828,0.9410755072242742,0.004545480516191414,48,47,1,96,94,2,0.020833333333333332,0.020833333333333332,48,0,0,0,0,1
1,1326,0.6351565546705755,0.6250658561929008,-0.010090698477674742,3,2,1,27,26,1,0.3333333333333333,0.037037037037037035,3,0,0,0,0,1
1,1332,0.9797289065118823,0.9797289065118823,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,1338,0.9176828028184068,0.9176828028184068,0.0,1,1,0,20,20,0,0.0,0.0,1,0,0,0,0,0
1,1341,0.8789277991268889,0.8789277991268889,0.0,2,2,0,4,4,0,0.0,0.0,2,0,0,0,0,0
1,1342,0.3885328761455815,0.3817933090373493,-0.006739567108232203,3,2,1,232,231,1,0.3333333333333333,0.004310344827586207,3,0,1,0,0,0
1,1346,0.8499050657584051,0.8499050657584051,0.0,1,1,0,8,8,0,0.0,0.0,1,0,0,0,0,0
1,1358,0.5371336569759679,0.5371336569759679,0.0,2,2,0,10,10,0,0.0,0.0,2,0,0,0,0,0
1,1360,0.8588082163637811,0.8588082163637811,0.0,2,2,0,28,28,0,0.0,0.0,2,0,0,0,0,0
1,1371,0.9342067029064547,0.9342067029064547,0.0,1,1,0,16,16,0,0.0,0.0,1,0,0,0,0,0
1,1393,0.8661135925251364,0.8614342315079263,-0.004679361017210115,5,4,1,54,53,1,0.2,0.018518518518518517,5,0,0,0,0,1
1,1422,0.7898440334284825,0.7898440334284825,0.0,2,2,0,17,17,0,0.0,0.0,2,0,0,0,0,0
1,1431,0.7894575650507323,0.7894575650507323,0.0,2,2,0,202,202,0,0.0,0.0,2,0,0,0,0,0
