repository_id,pull_request_number,merged_at,intent_similarity,intent_impact_divergence,module_count,changed_file_count,module_entropy,module_concentration,top_module_weight,package_count,cross_package_spread,total_additions,total_deletions,total_changes,modified_file_count,added_file_count,removed_file_count,renamed_file_count,rework_90d,rework_pr_count_90d,reworked_module_count_90d,days_to_first_rework
1,455,2012-03-28T08:51:26+00:00,0.08724503742554697,0.912754962574453,1,1,0.0,1.0,2.09861228866811,1,0,1,1,2,1,0,0,0,0,0,0,
1,465,2012-03-30T22:02:11+00:00,0.5179226480914411,0.48207735190855894,1,1,0.0,1.0,2.09861228866811,1,0,2,0,2,1,0,0,0,1,4,1,2.026944
1,417,2012-04-01T15:23:26+00:00,0.0611711140056895,0.9388288859943105,1,1,0.0,1.0,2.6094379124341005,1,0,3,1,4,1,0,0,0,1,3,1,58.361771
1,439,2012-04-01T15:42:39+00:00,0.3429141880850706,0.6570858119149294,4,4,0.9701286788562107,0.3371022008973608,4.912023005428146,2,1,78,4,82,3,1,0,0,1,1,1,0.289699
1,469,2012-04-01T22:39:49+00:00,0.1284877289852389,0.8715122710147611,1,1,0.0,1.0,1.6931471805599454,1,0,0,1,1,1,0,0,0,0,0,0,
1,470,2012-04-01T22:40:59+00:00,0.5964096941250806,0.4035903058749194,1,1,0.0,1.0,4.465735902799727,1,0,13,18,31,1,0,0,0,1,3,1,1.190451
1,473,2012-04-03T03:15:14+00:00,0.5615086509174516,0.4384913490825484,1,1,0.0,1.0,3.4849066497880004,1,0,10,1,11,1,0,0,0,1,2,1,11.42103
1,483,2012-04-09T21:24:26+00:00,0.04722176016331505,0.952778239836685,1,1,0.0,1.0,2.09861228866811,1,0,1,1,2,1,0,0,0,0,0,0,
1,489,2012-04-12T19:45:23+00:00,0.05012773144198985,0.9498722685580101,1,1,0.0,1.0,2.9459101490553135,1,0,3,3,6,1,0,0,0,1,1,1,73.911319
1,492,2012-04-14T13:21:31+00:00,0.5617236447268847,0.43827635527311526,1,1,0.0,1.0,2.09861228866811,1,0,1,1,2,1,0,0,0,1,2,1,75.166169
1,505,2012-05-07T15:08:19+00:00,0.08571163949824193,0.9142883605017581,1,1,0.0,1.0,3.833213344056216,1,0,2,14,16,1,0,0,0,1,1,1,4.412813
1,506,2012-05-12T01:02:46+00:00,0.09650021335570787,0.9034997866442921,1,1,0.0,1.0,2.09861228866811,1,0,1,1,2,1,0,0,0,0,0,0,
1,515,2012-05-30T00:04:23+00:00,0.5238302618525736,0.47616973814742636,2,2,0.9998847137129762,0.5063209269980657,3.4849066497880004,2,1,18,3,21,1,1,0,0,1,3,1,2.3e-05
1,514,2012-05-30T00:04:25+00:00,0.47367435719508444,0.5263256428049156,1,1,0.0,1.0,3.3978952727983707,1,0,7,3,10,1,0,0,0,1,2,1,18.535845
1,527,2012-06-17T12:56:02+00:00,0.04750766390783698,0.952492336092163,1,1,0.0,1.0,2.09861228866811,1,0,1,1,2,1,0,0,0,1,1,1,45.151944
1,497,2012-06-17T13:24:35+00:00,0.5470227465311155,0.4529772534688845,2,2,0.9193105672067131,0.6656485706145712,4.178053830347945,1,0,24,1,25,2,0,0,0,1,1,1,39.255197
1,530,2012-06-25T17:36:14+00:00,0.10946390251243375,0.8905360974875662,1,1,0.0,1.0,2.09861228866811,1,0,1,1,2,1,0,0,0,0,0,0,
1,509,2012-06-25T17:37:41+00:00,0.5076744189109775,0.49232558108902247,1,1,0.0,1.0,1.6931471805599454,1,0,1,0,1,1,0,0,0,0,0,0,
1,413,2012-06-25T17:49:11+00:00,0.5174958972516176,0.4825041027483824,8,8,0.969853464798964,0.18175935154449555,4.610917912644224,1,0,100,0,100,0,8,0,0,0,0,0,
1,533,2012-06-28T17:20:48+00:00,0.42698251016012434,0.5730174898398757,1,1,0.0,1.0,2.09861228866811,1,0,1,1,2,1,0,0,0,1,6,1,4.817627
1,538,2012-07-03T12:58:11+00:00,0.5227883192446412,0.4772116807553588,1,1,0.0,1.0,2.6094379124341005,1,0,2,2,4,1,0,0,0,1,5,1,19.814537
1,564,2012-07-23T08:31:07+00:00,0.46708625355355776,0.5329137464464422,1,1,0.0,1.0,2.09861228866811,1,0,1,1,2,1,0,0,0,1,4,1,34.367431
1,567,2012-07-26T19:32:04+00:00,0.0046198508396055145,0.9953801491603945,1,1,0.0,1.0,2.09861228866811,1,0,1,1,2,1,0,0,0,1,2,1,67.010162
1,571,2012-08-01T16:34:50+00:00,0.18213791640870156,0.8178620835912984,1,1,0.0,1.0,2.9459101490553135,1,0,4,2,6,1,0,0,0,1,1,1,77.293032
1,574,2012-08-26T17:20:13+00:00,0.5292574135950009,0.4707425864049991,1,1,0.0,1.0,2.6094379124341005,1,0,2,2,4,1,0,0,0,1,3,1,0.000185
1,565,2012-08-26T17:20:29+00:00,0.5409468610000684,0.4590531389999316,1,1,0.0,1.0,3.1972245773362196,1,0,8,0,8,1,0,0,0,1,2,1,0.001204
1,578,2012-08-26T17:22:13+00:00,0.1319282412454243,0.8680717587545757,1,1,0.0,1.0,2.09861228866811,1,0,1,1,2,1,0,0,0,1,1,1,17.336308
1,543,2012-09-13T01:26:30+00:00,0.6449567820305643,0.3550432179694357,1,1,0.0,1.0,3.3978952727983707,1,0,10,0,10,1,0,0,0,0,0,0,
1,594,2012-09-23T01:50:12+00:00,0.6061768267568993,0.3938231732431007,1,1,0.0,1.0,2.6094379124341005,1,0,2,2,4,1,0,0,0,0,0,0,
1,603,2012-10-01T19:46:42+00:00,0.07629844002051998,0.92370155997948,1,1,0.0,1.0,2.09861228866811,1,0,1,1,2,1,0,0,0,1,1,1,5.630741
1,591,2012-10-07T10:54:58+00:00,0.10068960894094774,0.8993103910590523,6,6,0.9821751645389241,0.24580632746482858,3.9444389791664403,2,1,18,18,36,6,0,0,0,0,0,0,
1,583,2012-10-07T10:55:55+00:00,0.03360930722248583,0.9663906927775142,1,1,0.0,1.0,2.09861228866811,1,0,1,1,2,1,0,0,0,0,0,0,
1,614,2012-10-17T23:36:48+00:00,0.6171691966458612,0.38283080335413877,2,2,1.0,0.5,2.09861228866811,1,0,1,3,4,2,0,0,0,0,0,0,
1,635,2012-11-16T01:55:32+00:00,0.14210067475913699,0.857899325240863,1,1,0.0,1.0,3.302585092994046,1,0,5,4,9,1,0,0,0,0,0,0,
1,667,2013-01-25T02:57:45+00:00,0.15038929857386152,0.8496107014261385,2,2,0.9960363919697389,0.5370462333130499,4.13549421592915,1,0,34,0,34,2,0,0,0,1,2,1,0.052604
1,630,2013-01-25T04:13:30+00:00,0.16668776136455005,0.8333122386354499,1,1,0.0,1.0,2.791759469228055,1,0,3,2,5,1,0,0,0,1,1,1,55.698183
1,625,2013-01-25T04:22:02+00:00,0.5852603602326523,0.41473963976734773,2,2,0.9950706615516891,0.5413089812358258,3.0794415416798357,2,1,9,2,11,2,0,0,0,0,0,0,
1,687,2013-03-21T20:58:53+00:00,0.29471453182997337,0.7052854681700267,4,4,0.9505477643595331,0.4121882041159768,4.332204510175204,1,0,32,1,33,4,0,0,0,1,8,2,57.767454
1,700,2013-04-01T03:05:02+00:00,0.6810987724172675,0.31890122758273254,1,1,0.0,1.0,2.09861228866811,1,0,2,0,2,1,0,0,0,1,2,1,47.509062
