repository_id,pull_request_number,total_files,python_file_count,non_python_file_count,python_similarity,random_mean_similarity,random_median_similarity,random_p05_similarity,random_p95_similarity,random_best_similarity,python_minus_random_mean,random_probability_beats_python
1,232,1,1,0,0.17286039127094657,0.17286039127094663,0.17286039127094657,0.17286039127094657,0.17286039127094657,0.17286039127094657,-5.551115123125783e-17,1.0
1,236,1,1,0,0.6563803071771509,0.656380307177151,0.6563803071771509,0.6563803071771509,0.6563803071771509,0.6563803071771509,-1.1102230246251565e-16,1.0
1,237,1,1,0,0.0867340203328191,0.08673402033281909,0.0867340203328191,0.0867340203328191,0.0867340203328191,0.0867340203328191,1.3877787807814457e-17,1.0
1,252,1,1,0,0.22332470223785936,0.2233247022378593,0.22332470223785936,0.22332470223785936,0.22332470223785936,0.22332470223785936,5.551115123125783e-17,1.0
1,275,1,1,0,0.4525535566399518,0.4525535566399518,0.4525535566399518,0.4525535566399518,0.4525535566399518,0.4525535566399518,0.0,1.0
1,277,1,1,0,0.5795517068004981,0.5795517068004978,0.5795517068004981,0.5795517068004981,0.5795517068004981,0.5795517068004981,2.220446049250313e-16,1.0
1,282,2,1,1,0.14059609261589423,0.1585347702852746,0.14059609261589423,0.14059609261589423,0.17789064078508415,0.17789064078508415,-0.01793867766938037,1.0
1,284,1,1,0,0.047257951493730646,0.04725795149373065,0.047257951493730646,0.047257951493730646,0.047257951493730646,0.047257951493730646,-6.938893903907228e-18,1.0
1,307,4,4,0,0.4978782423219414,0.4978782423219413,0.49787824232194133,0.49787824232194133,0.4978782423219414,0.4978782423219414,1.1102230246251565e-16,0.431
1,309,2,2,0,0.5612073024752708,0.561207302475271,0.5612073024752708,0.5612073024752708,0.5612073024752708,0.5612073024752708,-1.1102230246251565e-16,1.0
1,320,1,1,0,0.4762777931700852,0.476277793170085,0.4762777931700852,0.4762777931700852,0.4762777931700852,0.4762777931700852,1.6653345369377348e-16,1.0
1,322,1,1,0,0.5829965965193459,0.5829965965193458,0.5829965965193459,0.5829965965193459,0.5829965965193459,0.5829965965193459,1.1102230246251565e-16,1.0
1,324,1,1,0,0.3001432157762897,0.3001432157762897,0.3001432157762897,0.3001432157762897,0.3001432157762897,0.3001432157762897,0.0,1.0
1,327,1,1,0,0.08321526261473422,0.08321526261473422,0.08321526261473422,0.08321526261473422,0.08321526261473422,0.08321526261473422,0.0,1.0
1,347,1,1,0,0.3954593697706023,0.39545936977060225,0.3954593697706023,0.3954593697706023,0.3954593697706023,0.3954593697706023,5.551115123125783e-17,1.0
1,387,3,1,2,0.11540495635599139,0.20430814280787907,0.2435879280432004,0.11540495635599139,0.24771717528891396,0.24771717528891396,-0.08890318645188768,1.0
1,390,1,1,0,0.4919013497531935,0.4919013497531937,0.4919013497531935,0.4919013497531935,0.4919013497531935,0.4919013497531935,-2.220446049250313e-16,1.0
1,392,5,1,4,0.07680226504114457,0.1329818518635787,0.14417661098055137,0.07680226504114457,0.1996113338416108,0.1996113338416108,-0.056179586822434124,1.0
1,396,1,1,0,0.39869795156016685,0.39869795156016685,0.39869795156016685,0.39869795156016685,0.39869795156016685,0.39869795156016685,0.0,1.0
1,409,2,2,0,0.3681491654576647,0.3681491654576646,0.3681491654576647,0.3681491654576647,0.3681491654576647,0.3681491654576647,1.1102230246251565e-16,1.0
1,413,8,4,4,0.4346554731037186,0.5073404123797682,0.5107174473568027,0.45740063121318064,0.548965267835298,0.5532728435146256,-0.07268493927604963,1.0
1,415,2,2,0,0.12255534709745822,0.12255534709745824,0.12255534709745822,0.12255534709745822,0.12255534709745822,0.12255534709745822,-2.7755575615628914e-17,1.0
1,416,1,1,0,0.5492062204476854,0.5492062204476855,0.5492062204476854,0.5492062204476854,0.5492062204476854,0.5492062204476854,-1.1102230246251565e-16,1.0
1,417,1,1,0,0.06117108442749833,0.06117108442749831,0.06117108442749833,0.06117108442749833,0.06117108442749833,0.06117108442749833,2.0816681711721685e-17,1.0
1,420,1,1,0,0.4907213910652388,0.49072139106523865,0.4907213910652388,0.4907213910652388,0.4907213910652388,0.4907213910652388,1.6653345369377348e-16,1.0
1,430,3,2,1,0.1215743230007254,0.12714955421690532,0.1215743230007254,0.12142948450179662,0.1396585243795609,0.1396585243795609,-0.005575231216179921,0.662
1,431,2,1,1,0.10337690972860497,0.14182647870121334,0.10337690972860497,0.10337690972860497,0.18121004530068668,0.18121004530068668,-0.03844956897260837,1.0
1,433,2,2,0,0.40212766818352735,0.40212766818352735,0.40212766818352735,0.40212766818352735,0.40212766818352735,0.40212766818352735,0.0,1.0
1,437,3,2,1,0.3270255454619136,0.35869754966687933,0.35442024042228387,0.3270255454619136,0.39515330599634096,0.39515330599634096,-0.03167200420496574,1.0
1,439,4,3,1,0.35852598150415793,0.32393088456772673,0.34056441501136697,0.24612438335195946,0.35852598150415793,0.35852598150415793,0.0345950969364312,0.235
1,444,1,1,0,0.5133131905024962,0.5133131905024964,0.5133131905024962,0.5133131905024962,0.5133131905024962,0.5133131905024962,-1.1102230246251565e-16,1.0
1,453,1,1,0,0.2697654375914004,0.2697654375914004,0.2697654375914004,0.2697654375914004,0.2697654375914004,0.2697654375914004,0.0,1.0
1,455,1,1,0,0.08724507124982321,0.08724507124982318,0.08724507124982321,0.08724507124982321,0.08724507124982321,0.08724507124982321,2.7755575615628914e-17,1.0
1,465,1,1,0,0.5179226461169718,0.5179226461169718,0.5179226461169718,0.5179226461169718,0.5179226461169718,0.5179226461169718,0.0,1.0
1,469,1,1,0,0.1284877209119351,0.12848772091193508,0.1284877209119351,0.1284877209119351,0.1284877209119351,0.1284877209119351,2.7755575615628914e-17,1.0
1,470,1,1,0,0.596409695164356,0.5964096951643558,0.596409695164356,0.596409695164356,0.596409695164356,0.596409695164356,2.220446049250313e-16,1.0
1,473,1,1,0,0.5615086334396279,0.561508633439628,0.5615086334396279,0.5615086334396279,0.5615086334396279,0.5615086334396279,-1.1102230246251565e-16,1.0
1,483,1,1,0,0.0472218113662612,0.047221811366261204,0.0472218113662612,0.0472218113662612,0.0472218113662612,0.0472218113662612,-6.938893903907228e-18,1.0
1,489,1,1,0,0.05012771270730675,0.05012771270730675,0.05012771270730675,0.05012771270730675,0.05012771270730675,0.05012771270730675,0.0,1.0
1,492,1,1,0,0.5617236331146755,0.5617236331146758,0.5617236331146755,0.5617236331146755,0.5617236331146755,0.5617236331146755,-2.220446049250313e-16,1.0
1,497,2,2,0,0.5470227455484427,0.5470227455484425,0.5470227455484427,0.5470227455484427,0.5470227455484427,0.5470227455484427,1.1102230246251565e-16,1.0
1,505,1,1,0,0.08571162104231066,0.08571162104231064,0.08571162104231066,0.08571162104231066,0.08571162104231066,0.08571162104231066,1.3877787807814457e-17,1.0
1,506,1,1,0,0.09650019334382993,0.09650019334382992,0.09650019334382993,0.09650019334382993,0.09650019334382993,0.09650019334382993,1.3877787807814457e-17,1.0
1,509,1,1,0,0.5076744049126881,0.5076744049126881,0.5076744049126881,0.5076744049126881,0.5076744049126881,0.5076744049126881,0.0,1.0
1,514,1,1,0,0.4736743979883519,0.47367439798835176,0.4736743979883519,0.4736743979883519,0.4736743979883519,0.4736743979883519,1.6653345369377348e-16,1.0
1,515,2,1,1,0.2031992542931884,0.4033213074064224,0.591785765192672,0.2031992542931884,0.591785765192672,0.591785765192672,-0.200122053113234,1.0
1,527,1,1,0,0.047507679111305254,0.04750767911130527,0.047507679111305254,0.047507679111305254,0.047507679111305254,0.047507679111305254,-1.3877787807814457e-17,1.0
1,530,1,1,0,0.10946387150471538,0.10946387150471538,0.10946387150471538,0.10946387150471538,0.10946387150471538,0.10946387150471538,0.0,1.0
1,533,1,1,0,0.42698254645255374,0.42698254645255385,0.42698254645255374,0.42698254645255374,0.42698254645255374,0.42698254645255374,-1.1102230246251565e-16,1.0
1,538,1,1,0,0.5227883048906576,0.5227883048906578,0.5227883048906576,0.5227883048906576,0.5227883048906576,0.5227883048906576,-1.1102230246251565e-16,1.0
1,543,1,1,0,0.6449567828675692,0.6449567828675691,0.6449567828675692,0.6449567828675692,0.6449567828675692,0.6449567828675692,1.1102230246251565e-16,1.0
1,564,1,1,0,0.4670862840903364,0.46708628409033626,0.4670862840903364,0.4670862840903364,0.4670862840903364,0.4670862840903364,1.6653345369377348e-16,1.0
1,565,1,1,0,0.5409468927533724,0.5409468927533724,0.5409468927533724,0.5409468927533724,0.5409468927533724,0.5409468927533724,0.0,1.0
1,567,1,1,0,0.0046199193672049575,0.004619919367204959,0.0046199193672049575,0.0046199193672049575,0.0046199193672049575,0.0046199193672049575,-1.734723475976807e-18,1.0
1,571,1,1,0,0.1821379278888293,0.1821379278888293,0.1821379278888293,0.1821379278888293,0.1821379278888293,0.1821379278888293,0.0,1.0
1,574,1,1,0,0.5292574334461082,0.5292574334461085,0.5292574334461082,0.5292574334461082,0.5292574334461082,0.5292574334461082,-3.3306690738754696e-16,1.0
1,578,1,1,0,0.13192826228001953,0.1319282622800195,0.13192826228001953,0.13192826228001953,0.13192826228001953,0.13192826228001953,2.7755575615628914e-17,1.0
1,583,1,1,0,0.033609257898918,0.033609257898918006,0.033609257898918,0.033609257898918,0.033609257898918,0.033609257898918,-6.938893903907228e-18,1.0
1,591,6,4,2,0.04296555747688312,0.09797622378078437,0.09971184020117327,0.042965557476883125,0.158519357370499,0.15851935737049905,-0.05501066630390125,1.0
1,594,1,1,0,0.6061768527959309,0.6061768527959309,0.6061768527959309,0.6061768527959309,0.6061768527959309,0.6061768527959309,0.0,1.0
1,603,1,1,0,0.07629849799392883,0.07629849799392883,0.07629849799392883,0.07629849799392883,0.07629849799392883,0.07629849799392883,0.0,1.0
1,614,2,2,0,0.6171691933583172,0.6171691933583172,0.6171691933583172,0.6171691933583172,0.6171691933583172,0.6171691933583172,0.0,1.0
1,619,1,1,0,0.6402674634513379,0.6402674634513377,0.6402674634513379,0.6402674634513379,0.6402674634513379,0.6402674634513379,2.220446049250313e-16,1.0
1,625,2,1,1,0.5016638545989354,0.4426874743210276,0.5016638545989354,0.37671389638302916,0.5016638545989354,0.5016638545989354,0.05897638027790775,0.528
